bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1712296,3108553,0,0,1700000,1783080,430.8,0,1,66297,194,194,162
1724120,3108553,0,0,1700000,1790808,431.7,0,1,66691,194,194,159
1736584,3152536,0,0,1700000,1764424,430.4,0,1,67110,194,194,159
1686832,3152536,0,0,1700000,1667848,415.9,0,1,67507,194,194,160
1669456,3152536,0,0,1700000,1736536,423.3,0,1,67905,194,194,164
1674768,3152536,0,0,1700000,1748016,424.7,0,1,68324,194,194,167
1714984,3152536,0,0,1700000,1788760,424.0,0,1,68702,194,194,172
1696624,3152536,0,0,1700000,1756176,426.5,0,1,68985,194,194,177
1689552,3152536,0,0,1700000,1781608,434.3,0,1,69218,195,195,181
1747512,3152536,0,0,1700000,1803680,436.1,0,1,69361,207,207,193
1678472,3152536,0,0,1700000,1749480,428.0,0,1,69471,216,216,202
1715240,3152536,0,0,1700000,1807088,441.0,0,1,69591,217,217,203
1671864,3152536,0,0,1700000,1723832,427.3,0,1,69724,213,213,199
1675544,3152536,0,0,1700000,1729328,421.1,0,1,69862,253,233,198
1724352,3152536,0,0,1700000,1754784,423.3,0,1,70015,253,253,204
1735904,3152536,0,0,1700000,1752264,428.3,0,1,70107,253,253,214
1718328,3152536,0,0,1700000,1753240,424.4,0,1,70206,272,263,219
1697712,3152536,0,0,1700000,1779112,428.2,0,1,70302,308,293,220
1510168,3152536,0,0,1700000,1561424,405.2,0,1,70390,343,319,222
1819296,3152536,0,0,1700000,1832224,448.3,0,1,70485,363,347,217
1674712,3152536,0,0,1700000,1751288,433.8,0,1,70581,382,373,216
1646472,3152536,0,0,1700000,1793056,425.8,0,1,70690,382,382,218
1704472,3152536,0,0,1700000,1791104,433.2,0,1,70751,364,359,230
1672272,3152536,0,0,1700000,1732728,425.5,0,1,70814,379,379,228
1685000,3152536,0,0,1700000,1782280,425.7,0,1,70880,400,385,226
1687680,3152536,0,0,1700000,1773848,430.3,0,1,70965,400,400,221
1664424,3152536,0,0,1700000,1761472,421.6,0,1,71056,416,411,218
1609264,3152536,0,0,1700000,1697040,413.9,0,1,71152,416,416,219
1696336,3152536,0,0,1700000,1714928,430.2,0,1,71260,416,416,212
1696944,3152536,0,0,1700000,1761344,430.3,0,1,71384,416,416,211
1689160,3152536,0,0,1700000,1747688,430.2,0,1,71513,416,416,209
1682696,3152536,0,0,1700000,1758952,418.0,0,1,71638,400,400,216
1643640,3152536,0,0,1700000,1725896,426.6,0,1,71797,400,400,216
1716384,3152536,0,0,1700000,1745384,426.3,0,1,71893,357,357,221
1689080,3152536,0,0,1700000,1733456,427.6,0,1,71987,357,357,225
1666872,3152536,0,0,1700000,1731400,425.4,0,1,72088,357,357,218
1680432,3152536,0,0,1700000,1784520,429.2,0,1,72202,357,357,215
1738376,3152536,0,0,1700000,1829640,434.3,0,1,72320,357,357,221
1680224,3152536,0,0,1700000,1714632,421.5,0,1,72429,357,357,221
1638512,3152536,0,0,1700000,1750328,421.7,0,1,72548,357,357,216
1632016,3152536,0,0,1700000,1755568,422.0,0,1,72663,357,357,214
1640728,3152536,0,0,1700000,1778224,424.1,0,1,72785,357,357,210
1744824,3152536,0,0,1700000,1757008,436.5,0,1,72906,357,357,212
1741456,3152536,0,0,1700000,1743800,432.0,0,1,73023,357,357,218
1729152,3152536,0,0,1700000,1748608,428.9,0,1,73149,357,357,211
1708848,3152536,0,0,1700000,1773864,426.9,0,1,73288,357,357,207
1740880,3152536,0,0,1700000,1772120,432.6,0,1,73425,357,357,210
1718632,3152536,0,0,1700000,1752344,426.3,0,1,73555,357,357,208
1708488,3152536,0,0,1700000,1755712,426.9,0,1,73702,357,357,209
1688552,3152536,0,0,1700000,1703288,428.1,0,1,73845,357,357,205
1707984,3152536,0,0,1700000,1798184,429.3,0,1,74002,357,357,199
1677536,3152536,0,0,1700000,1767040,427.2,0,1,74170,357,357,193
1749160,3152536,0,0,1700000,1722936,424.0,0,1,74351,357,357,193
1633008,3152536,0,0,1700000,1756080,422.3,0,1,74500,297,297,197
1724376,3152536,0,0,1700000,1750896,428.2,0,1,74598,265,265,207
1719376,3152536,0,0,1700000,1794488,429.5,0,1,74696,281,281,213
1658176,3152536,0,0,1700000,1732456,428.0,0,1,74778,232,232,218
1734304,3152536,0,0,1700000,1807488,427.0,0,1,74841,242,242,217
1650016,3152536,0,0,1700000,1745080,424.0,0,1,74918,259,259,216
1748696,3152536,0,0,1700000,1808816,430.9,0,1,75002,279,274,221
1644168,3152536,0,0,1700000,1785856,420.4,0,1,75087,279,279,218
1693224,3152536,0,0,1700000,1774640,433.9,0,1,75185,279,279,220
1717864,3152536,0,0,1700000,1819176,436.2,0,1,75289,279,279,215
1684928,3152536,0,0,1700000,1799520,425.0,0,1,75402,279,279,215
1668936,3152536,0,0,1700000,1803640,434.0,0,1,75526,279,279,217
