bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1580992,5178461,0,0,1604496,3319480,827.3,0,5,56714,126,126,61
1591696,5319436,0,0,1604416,2928488,770.9,0,5,56909,126,126,63
1616008,5319436,0,0,1700000,1741528,404.5,0,5,57103,126,126,60
1489344,3266133,0,0,1700000,1608896,415.5,0,5,57347,126,126,58
1722536,3266133,0,0,1700000,1727480,435.0,0,5,57611,126,126,54
1719672,3266133,0,0,1700000,1747056,441.3,0,5,57894,126,126,55
1691416,3266133,0,0,1700000,1759904,435.8,0,5,58135,126,126,55
1647496,3266133,0,0,1700000,1731920,430.0,0,5,58383,126,126,53
1730936,3266133,0,0,1700000,1781808,439.9,0,5,58653,126,126,50
1658184,3266133,0,0,1700000,1737704,436.0,0,5,58927,126,126,47
1666616,3266133,0,0,1700000,1769760,435.8,0,5,59199,126,126,45
1688200,3266133,0,0,1700000,1739704,436.0,0,5,59429,126,126,49
1694520,3266133,0,0,1700000,1748536,432.3,0,5,59676,126,126,48
1658792,3266133,0,0,1700000,1778968,433.6,0,5,59981,126,126,43
1701056,3266133,0,0,1700000,1740664,438.9,0,5,60333,126,126,53
1661400,3266133,0,0,1700000,1741136,434.7,0,5,60668,126,126,91
1737880,3266133,0,0,1700000,1763280,440.0,0,5,60982,106,106,90
1711256,3266133,0,0,1700000,1762832,439.6,0,5,61253,110,110,95
1701584,3266133,0,0,1700000,1742336,436.0,0,5,61461,116,116,101
1723416,3266133,0,0,1700000,1791736,437.6,0,5,61632,122,122,107
1649080,3266133,0,0,1700000,1717424,429.7,0,5,61823,123,123,104
1740360,3266133,0,0,1700000,1813336,453.1,0,5,62071,123,123,102
1732072,3266133,0,0,1700000,1780040,442.7,0,5,62325,123,123,99
1641368,3266133,0,0,1700000,1789560,433.6,0,5,62629,123,123,99
1675512,3266133,0,0,1700000,1749512,440.5,0,5,62979,123,123,99
1725744,3266133,0,0,1700000,1762136,442.9,0,5,63388,123,123,101
1678856,3266133,0,0,1700000,1769136,432.8,0,5,63742,126,126,110
1663008,3266133,0,0,1700000,1693616,421.1,0,5,64142,130,130,113
1765336,3266133,0,0,1700000,1862232,450.8,0,5,64485,136,136,119
1674424,3266133,0,0,1700000,1759248,443.0,0,5,64828,142,142,125
1195336,3266133,0,0,1700000,1250392,376.0,0,5,65157,146,146,128
1012400,3266133,0,0,1700000,1131264,345.0,0,5,65544,149,149,131
1701272,3266133,0,0,1700000,1758096,465.9,0,5,65903,150,150,132
2088504,3562618,0,0,1700000,2217552,570.8,0,5,66288,145,145,127
1614224,3562618,0,0,1700000,1660696,428.8,0,5,66617,142,142,124
1776816,3562618,0,0,1700000,1841536,449.6,0,5,66960,139,139,121
1001624,3562618,0,0,1700000,1036280,319.4,0,5,67290,135,135,117
1427864,3562618,0,0,1700000,1476096,370.1,0,5,67639,138,132,114
1432240,3562618,0,0,1700000,1509816,378.7,0,5,67968,138,138,112
1454928,3562618,0,0,1700000,1533432,384.9,0,5,68291,138,138,109
1512952,3562618,0,0,1700000,1555584,389.4,0,5,68681,138,138,105
1452176,3562618,0,0,1700000,1486152,402.6,0,5,69115,138,138,104
1436168,3562618,0,0,1700000,1463120,372.1,0,5,69515,138,138,103
1451744,3562618,0,0,1700000,1474544,367.7,0,5,69983,138,138,100
1425376,3562618,0,0,1700000,1527552,373.6,0,5,70427,138,138,98
1445320,3562618,0,0,1700000,1525104,378.2,0,5,70771,138,138,96
1469984,3562618,0,0,1700000,1517368,375.8,0,5,71055,138,138,98
1450600,3562618,0,0,1700000,1512016,383.3,0,5,71338,138,138,96
1445608,3562618,0,0,1700000,1507696,378.2,0,5,71700,138,138,87
1458688,3562618,0,0,1700000,1525008,384.0,0,5,72067,138,138,86
1536752,3562618,0,0,1700000,1526912,387.9,0,5,72386,138,138,85
1483032,3562618,0,0,1700000,1556208,390.3,0,5,72567,138,138,92
1510584,3562618,0,0,1700000,1523584,384.6,0,5,72736,138,138,92
1715032,3562618,0,0,1700000,1715336,337.8,0,5,72968,138,138,88
1725856,3562618,0,0,1700000,1811296,463.2,0,5,73172,138,138,88
1672704,3562618,0,0,1700000,1710928,426.4,0,5,73381,138,138,85
1640736,3562618,0,0,1700000,1736352,438.4,0,5,73604,138,138,80
1661776,3562618,0,0,1700000,1726688,433.5,0,5,73841,138,138,80
1689152,3562618,0,0,1700000,1756216,444.1,0,5,74090,138,138,77
1660000,3562618,0,0,1700000,1769672,435.8,0,5,74355,138,138,74
1667496,3562618,0,0,1700000,1747216,440.7,0,5,74674,138,138,69
1725368,3562618,0,0,1700000,1739368,357.0,0,5,75021,138,138,70
1950224,3636582,0,0,1700000,2009744,507.9,0,5,75311,138,138,76
1609848,3636582,0,0,1700000,1686656,417.4,0,5,75652,138,138,84
1661520,3636582,0,0,1700000,1771264,432.8,0,5,76039,138,138,83
1655080,3636582,0,0,1700000,1728464,427.6,0,5,76431,138,138,88
1806120,3636582,0,0,1700000,1859800,465.9,0,5,76752,138,138,90
1772552,3636582,0,0,1700000,1800536,455.0,0,5,77015,138,138,92
1640968,3636582,0,0,1700000,1712776,433.1,0,5,77266,138,138,94
1690408,3636582,0,0,1700000,1760496,429.5,0,5,77464,138,138,93
1685536,3636582,0,0,1700000,1797904,435.2,0,5,77692,138,138,87
1691608,3636582,0,0,1700000,1743192,439.9,0,5,77983,138,138,84
1670032,3636582,0,0,1700000,1745800,427.0,0,5,78318,138,138,78
1735656,3636582,0,0,1700000,1780768,447.2,0,5,78703,138,138,73
1636720,3636582,0,0,1700000,1748320,430.2,0,5,79141,138,138,71
1846200,3636582,0,0,1700000,1860104,456.3,0,5,79568,138,138,69
1733896,3636582,0,0,1700000,1774904,445.1,0,5,79952,138,138,72
1759360,3636582,0,0,1700000,1790376,421.8,0,5,80288,138,138,76
1807472,3636582,0,0,1700000,1878576,465.2,0,5,80594,138,138,75
1671504,3636582,0,0,1700000,1749224,449.9,0,6,80874,122,122,75
1710344,3636582,0,0,1700000,1725856,431.1,0,6,81169,103,103,78
1654208,3636582,0,0,1700000,1774056,428.4,0,6,81406,118,118,79
1682248,3636582,0,0,1700000,1759080,443.0,0,6,81593,118,118,80
1687416,3636582,0,0,1700000,1756352,439.7,0,6,81813,118,118,75
1718016,3636582,0,0,1700000,1732088,440.3,0,6,82065,134,134,70
1711408,3636582,0,0,1700000,1722592,440.1,0,6,82327,134,134,64
1684992,3636582,0,0,1700000,1731888,441.2,0,6,82668,134,134,54
1743704,3636582,0,0,1700000,1723512,440.8,0,6,83072,134,134,52
1723552,3636582,0,0,1700000,1752360,449.5,0,6,83469,134,134,53
1018544,3636582,0,0,1700000,1080864,355.1,0,6,83814,134,134,55
2102824,3642745,0,0,1700000,2196512,483.7,0,6,84116,134,134,59
1866944,3654539,0,0,1700000,1905792,506.9,0,6,84427,134,134,58
1635320,3654539,0,0,1700000,1655952,433.8,0,6,84699,134,134,60
1636144,3654539,0,0,1700000,1666328,419.0,0,6,84956,149,149,61
1686176,3654539,0,0,1700000,1743656,437.6,0,6,85232,149,149,57
1725072,3654539,0,0,1700000,1793760,437.6,0,6,85528,149,149,55
1732232,3654539,0,0,1700000,1772632,442.3,0,6,85833,149,149,52
1527192,3007384,0,0,1700000,1545336,417.0,0,6,86140,149,149,49
1644528,3007384,0,0,1700000,1717872,423.3,0,6,86442,149,149,46
1705800,3007384,0,0,1700000,1747400,435.9,0,6,86765,149,149,47
1656552,3007384,0,0,1700000,1753720,432.8,0,6,87089,149,149,47
1693816,3007384,0,0,1700000,1701856,439.2,0,6,87443,149,149,44
1669424,3007384,0,0,1700000,1647704,429.1,0,6,87780,149,149,43
1678856,3023931,0,0,1700000,1775688,448.0,0,6,88060,149,149,90
1760064,3023931,0,0,1700000,1737304,436.5,0,6,88316,149,149,86
1704672,3023931,0,0,1700000,1756464,439.0,0,6,88577,149,149,89
1646848,3023931,0,0,1700000,1754272,433.2,0,6,88843,149,149,89
1707912,3023931,0,0,1700000,1769056,435.9,0,6,89100,149,149,92
1659672,3023931,0,0,1700000,1760400,433.9,0,6,89397,149,149,87
1723448,3057394,0,0,1700000,1741856,442.4,0,6,89751,149,149,79
1684344,3057394,0,0,1700000,1740608,436.3,0,6,90158,149,149,75
1715856,3057394,0,0,1700000,1786008,439.3,0,6,90528,149,149,77
1735968,3057394,0,0,1700000,1837112,452.9,0,6,90883,149,149,80
1720344,3057394,0,0,1700000,1766840,440.8,0,6,91241,149,149,83
1701336,3060042,0,0,1700000,1744872,444.8,0,6,91573,149,149,86
1071904,3060042,0,0,1700000,1188064,362.6,0,6,91876,149,149,91
1915280,3295244,0,0,1700000,2024760,515.9,0,6,92178,149,149,98
1662056,3295244,0,0,1700000,1684344,451.2,0,6,92495,149,149,97
1596904,3295244,0,0,1700000,1644256,410.4,0,6,92784,149,149,97
1664576,3295244,0,0,1700000,1741664,430.3,0,6,93051,149,149,98
1739712,3295244,0,0,1700000,1805008,436.9,0,6,93312,129,129,100
1653624,3295244,0,0,1700000,1748136,430.0,0,6,93539,129,129,100
1713288,3295244,0,0,1700000,1730016,437.6,0,6,93787,129,129,98
1706664,3295244,0,0,1700000,1739256,435.7,0,6,94079,129,129,92
1657744,3295244,0,0,1700000,1761408,441.2,0,6,94428,129,129,84
1748648,3295244,0,0,1700000,1746352,438.2,0,6,94814,145,145,82
1705328,3295244,0,0,1700000,1741096,438.0,0,6,95239,145,145,75
1726288,3295244,0,0,1700000,1772424,439.7,0,6,95619,145,145,80
1672448,3295244,0,0,1700000,1759368,434.8,0,6,95983,145,145,82
1626120,3295244,0,0,1700000,1758176,436.8,0,6,96376,145,145,83
1655976,3295244,0,0,1700000,1739184,435.2,0,6,96756,145,145,83
